Cruise,Lat,Lon,DateTime,Depth,Cryptos,Coccos,Syn,Pro,Pico,Nano
AMT18,49.4824,-9.8475,10-Jun-2008 04:59:00,3.3,44,26,9397,0,4386,654
AMT18,49.3645,-11.5177,10-Jun-2008 13:11:00,4.5,15,82,22368,68721,8575,1073
AMT18,49.1492,-14.6524,10-Jul-2008 04:29:00,5.6,26,55,12883,40927,5818,1134
AMT18,48.866,-16.1938,10-Jul-2008 12:52:00,3.9,30,88,8935,27367,8619,2977
AMT18,46.5907,-18.6966,10-Aug-2008 04:31:00,4.1,6,41,6304,42189,5601,1101
AMT18,42.673,-22.1949,10-Sep-2008 05:25:00,3.7,0,6,828,109229,1316,662
AMT18,38.882,-25.3242,10-Oct-2008 05:22:00,4,1,5,7685,146433,881,379
AMT18,36.0117,-27.7373,10-Nov-2008 05:29:00,3.2,0,10,1276,115640,679,256
AMT18,35.3137,-28.466,10-Nov-2008 13:43:00,3.7,0,15,1270,110941,525,255
AMT18,33.2979,-30.7968,10-Dec-2008 05:27:00,4,0,4,1667,94751,547,246
AMT18,32.49,-31.7102,10-Dec-2008 13:45:00,6.8,0,16,1375,65267,593,156
AMT18,30.4724,-33.9513,13/10/2008 05:24,3.5,0,7,2008,70222,588,209
AMT18,29.6697,-34.8335,13/10/2008 13:36,5.3,0,8,1598,53273,683,181
AMT18,27.6318,-37.0306,14/10/2008 05:09,2.9,0,2,877,83535,665,228
AMT18,24.7443,-40.0885,15/10/2008 05:25,3.5,0,5,1285,88834,689,240
AMT18,24.7382,-40.0701,15/10/2008 14:16,5.8,1,8,NaN,80763,843,229
AMT18,22.5997,-40.2659,16/10/2008 05:25,3.8,0,9,958,91555,914,343
AMT18,21.6732,-39.5964,16/10/2008 13:39,5,2,3,1208,83806,859,372
AMT18,19.7224,-38.2301,17/10/2008 05:25,2.5,0,6,3057,172999,822,297
AMT18,18.7886,-37.5779,17/10/2008 13:37,4.6,2,6,1861,125171,635,200
AMT18,16.8105,-36.2068,18/10/2008 05:24,3.4,0,5,4418,226389,1050,278
AMT18,14.9192,-34.9221,19/10/2008 05:24,3.2,0,10,5962,219207,1037,264
AMT18,14.0932,-34.3602,19/10/2008 13:41,5.1,21,2,4728,145830,687,191
AMT18,11.8206,-32.8242,20/10/2008 05:25,3,3,5,17340,298622,1420,202
AMT18,10.8916,-32.2064,20/10/2008 13:41,5.1,9,3,11472,212203,1075,278
AMT18,8.6438,-30.7085,21/10/2008 05:22,2.8,8,8,21572,220506,1227,319
AMT18,7.6627,-30.0594,21/10/2008 13:38,5.6,8,6,11138,158113,1195,260
AMT18,5.3398,-28.5213,22/10/2008 05:23,3.6,1,2,13361,153792,1219,164
AMT18,5.139,-28.391,22/10/2008 13:47,4.9,2,10,17633,132624,1120,239
AMT18,2.791,-26.854,23/10/2008 05:20,6.2,1,5,10835,188941,1125,240
AMT18,1.8314,-26.2158,23/10/2008 13:39,4.2,2,3,2871,203697,1071,188
AMT18,-0.5837,-24.996,24/10/2008 05:22,6.3,0,4,8361,350783,2748,368
AMT18,-1.6265,-24.9955,24/10/2008 13:12,4.8,1,7,2854,194752,1431,181
AMT18,-6.0521,-24.978,25/10/2008 13:54,6.8,0,5,1290,242034,1002,206
AMT18,-8.8254,-24.9954,26/10/2008 05:21,3.8,0,120,1627,216144,1239,144
AMT18,-9.9753,-24.9994,26/10/2008 13:35,5.8,0,3,1618,123893,914,260
AMT18,-12.8396,-24.9983,27/10/2008 05:21,4.5,1,8,1907,118001,1034,153
AMT18,-13.9944,-24.9952,27/10/2008 13:38,5.8,0,5,1426,38152,687,172
AMT18,-16.6377,-24.9939,28/10/2008 05:21,4,0,10,1395,69875,780,153
AMT18,-16.8754,-24.9962,28/10/2008 13:40,5.3,2,4,1199,29196,725,160
AMT18,-19.1237,-24.9959,29/10/2008 05:20,3.7,0,7,1523,62770,1030,217
AMT18,-20.2833,-25.0011,29/10/2008 13:40,5.5,0,3,1822,51899,835,162
AMT18,-22.7853,-25.0091,30/10/2008 05:29,4.4,0,2,1334,72888,1387,197
AMT18,-23.9345,-24.9994,30/10/2008 13:39,6.4,1,0,1595,77510,1207,175
AMT18,-26.5572,-24.9979,31/10/2008 05:20,2.9,0,3,1829,77115,1131,230
AMT18,-28.8682,-26.0361,11-Jan-2008 05:21:00,6.9,0,13,3614,136595,2267,280
AMT18,-32.1794,-29.8255,11-Feb-2008 14:50:00,6.6,5,6,4241,80654,2657,326
AMT18,-33.7682,-32.003,11-Mar-2008 06:28:00,3.1,36,31,11893,36532,4000,1080
AMT18,-34.5532,-32.9804,11-Mar-2008 14:50:00,5.9,9,6,7101,36273,2641,610
AMT18,-36.1732,-35.0541,11-Apr-2008 05:18:00,3,117,42,58495,19390,11343,1874
AMT18,-37.966,-37.4111,11-May-2008 05:24:00,5,375,165,211637,11205,20016,2480
AMT18,-38.7606,-38.4562,11-May-2008 14:31:00,6.9,170,87,80612,4013,14280,1321
AMT18,-43.2266,-44.6134,11-Jul-2008 05:26:00,4.7,170,60,22671,0,19668,5082
AMT18,-43.9481,-45.6467,11-Jul-2008 14:24:00,7.4,123,15,11292,0,18097,2996
AMT19,49.567,-8.6335,14/10/2009 04:34,1.4,68.3,85.32,124798.98,0,25092.33,759.3
AMT19,49.4332,-10.534,14/10/2009 12:43,2.3,54,46.93,119648.56,2906.53,35946.33,1992.2
AMT19,48.9485,-14.4599,15/10/2009 06:23,1.2,0,2.82,76774.06,107589.68,13101.99,1357.3
AMT19,49.0061,-16.6636,16/10/2009 05:38,2.9,0,9.72,80866.33,113978.05,12792.41,1497.9
AMT19,47.2871,-18.0419,17/10/2009 05:56,2.8,7,11.27,40209.68,206656.62,6165.95,1021.1
AMT19,46.3388,-18.8019,17/10/2009 13:41,0.5,1.4,11.38,6539.38,176605.97,4597.2,745.6
AMT19,44.2446,-20.4044,18/10/2009 05:40,2.3,0,11.28,2796.76,174473.36,1191.16,320
AMT19,43.2143,-21.1751,18/10/2009 13:47,0.9,0,11.58,2773.04,148288.15,921.93,406.7
AMT19,41.2512,-22.6023,19/10/2009 05:49,2.6,2.8,6.89,4861.43,205603.9,1312.55,151.5
AMT19,40.3233,-23.272,19/10/2009 13:33,3,2.8,8.36,2388.89,96826.88,760.99,207.7
AMT19,38.3175,-24.6698,20/10/2009 05:44,1.8,4.3,7.22,5596.32,134378.2,1078.55,262.8
AMT19,37.1015,-26.4877,21/10/2009 13:07,1.7,2.9,4.29,6895.84,197474.78,1170.5,192.9
AMT19,35.4482,-28.6458,22/10/2009 06:38,2.1,4,7.98,1430.43,180087.15,887.48,196.9
AMT19,34.7236,-29.5889,22/10/2009 13:59,1.1,0,1.35,1330.78,170358.2,868.27,209
AMT19,33.419,-31.2502,23/10/2009 06:41,3.2,0,12.99,2061.24,131108.82,860.03,239
AMT19,32.8708,-31.9458,23/10/2009 14:13,1.1,1.4,5.47,1727.49,137878.97,820.2,240.6
AMT19,31.4297,-33.7377,24/10/2009 06:30,2.3,2.8,4.2,1520.4,108464.09,856.09,162.3
AMT19,30.745,-34.484,24/10/2009 13:59,1,0,2.64,1749.27,67734.28,518.13,97.6
AMT19,29.1803,-35.9831,25/10/2009 06:35,2.6,0,13.79,1819.9,116279.73,776.42,148.9
AMT19,28.4788,-36.6794,25/10/2009 14:00,1.8,1.4,11.09,2745.48,98911.65,621.14,163.6
AMT19,27.215,-37.8867,26/10/2009 06:27,2.1,0,2.74,1755.3,96590.48,832.02,112.4
AMT19,27.0229,-38.0533,26/10/2009 14:00,3.4,0,4.12,4110.52,91636.16,811.62,243.1
AMT19,25.3914,-39.6027,27/10/2009 06:32,2.6,0,11.33,8656.74,46943.03,945.64,189.7
AMT19,24.652,-40.2833,27/10/2009 14:01,1.9,1.4,9.72,7340.6,69212.7,790.43,150
AMT19,23.2253,-40.7194,28/10/2009 07:29,1.9,4.1,10.82,2039.93,80670.76,644.96,135.2
AMT19,21.1319,-39.2488,29/10/2009 07:27,1.4,1.4,8.47,1408.2,220132.15,928.7,122.8
AMT19,21.1199,-39.2687,29/10/2009 14:15,1.2,1.4,4.23,1290.97,181806.06,656.3,193.4
AMT19,21.1327,-39.3056,30/10/2009 07:36,1.1,0,6.87,1600.13,224450.75,863.91,168.9
AMT19,20.9363,-39.1673,30/10/2009 14:03,1.1,2.8,5.52,1672.87,195111.72,846.57,122.7
AMT19,19.144,-37.8639,31/10/2009 06:58,2.9,2.7,2.74,1514.93,278328.49,841.27,137.2
AMT19,18.4184,-37.3594,31/10/2009 14:00,1.5,5.5,20.64,2146.01,284988.2,850.44,185.8
AMT19,16.573,-36.0996,11-Jan-2009 07:37:00,3.2,2.8,6.88,2109.33,287391,886.22,141.7
AMT19,15.9258,-35.6611,11-Jan-2009 14:00:00,3.2,2.8,4.16,1881.64,208428.94,887.01,167.7
AMT19,14.1561,-34.4574,11-Feb-2009 06:20:00,4.3,1.4,9.64,3414.74,281283.41,1516.28,243.8
AMT19,13.3481,-33.9151,11-Feb-2009 14:01:00,2.7,0,0,6381.61,201103.89,1118.11,372.7
AMT19,11.4682,-32.6472,11-Mar-2009 06:25:00,1.4,1.4,20.82,33212.55,316990.19,1958.78,644.1
AMT19,10.5626,-32.0405,11-Mar-2009 14:00:00,1.2,17.6,41.88,35537.26,52816.82,298.58,649.8
AMT19,8.8055,-30.8655,11-Apr-2009 14:02:00,2.1,6.9,27.62,98083.51,35088.53,845.3,395
AMT19,6.8391,-29.544,11-May-2009 06:29:00,2.2,6.6,19.92,113928.04,47476.61,1280.02,414.3
AMT19,5.9487,-28.9579,11-May-2009 14:02:00,2.5,0,12.4,54462.65,101019.74,1063.63,387.1
AMT19,4.0541,-27.6941,11-Jun-2009 06:28:00,1.7,19.5,57.22,80847.73,134135.83,1599.48,279.1
AMT19,3.1559,-27.0975,11-Jun-2009 14:00:00,1.8,1.4,13.55,6899.14,265876.03,1280.31,269.6
AMT19,1.2698,-25.8503,11-Jul-2009 06:27:00,1.6,1.4,9.85,4089.98,350104.24,1799.04,234.9
AMT19,-2.0415,-24.988,11-Aug-2009 08:07:00,2.2,4.1,14.94,13393.92,377389.08,4044.88,502.6
AMT19,-2.8472,-25.0013,11-Aug-2009 14:01:00,2.3,0,0,2459.87,319121.8,0,0
AMT19,-3.8383,-24.9989,11-Sep-2009 06:23:00,2.4,0,20.46,3672.2,308544.65,2495.62,290.5
AMT19,-4.8593,-25.0005,11-Sep-2009 13:33:00,2,0,15.2,2880.65,233719.7,2342.42,369
AMT19,-7.3608,-24.9882,11-Oct-2009 06:32:00,2.5,1.4,10.98,1901.6,358499.05,1295.42,181.1
AMT19,-8.38,-24.9959,11-Oct-2009 13:30:00,1.4,1.4,10.91,4144.51,224639.97,2674.52,233.1
AMT19,-10.6482,-24.9966,11-Nov-2009 05:24:00,1.7,0,11.07,1691.46,152024.28,956.47,197.9
AMT19,-11.7244,-24.9999,11-Nov-2009 13:01:00,1.7,4.1,5.49,1403.4,102447.85,828.61,170.1
AMT19,-13.8135,-24.9857,11-Dec-2009 06:25:00,5,0,2.77,1278.06,141847.75,733.77,242.3
AMT19,-13.8558,-25.0573,11-Dec-2009 13:15:00,3.8,2.8,12.64,1505.85,102285.79,706.36,188.2
AMT19,-14.0095,-25.1751,13/11/2009 06:25,4.4,0,0,1141.47,169218.33,733.65,208.6
AMT19,-14.0232,-25.18,13/11/2009 12:59,4.3,1.4,15.2,1264.4,108114.64,808.26,181
AMT19,-16.3649,-24.9965,14/11/2009 05:35,1.8,2.8,12.43,1447.49,88922.5,669.88,193.4
AMT19,-17.3469,-24.9993,14/11/2009 13:02,1.6,0,2.77,1487.4,89969.35,745.06,156.5
AMT19,-19.4975,-24.9987,15/11/2009 05:27,1.6,0,9.51,1634.73,91802.45,633.13,175.3
AMT19,-20.5905,-25.0005,15/11/2009 13:02,1.3,2.8,5.51,1281.14,93145.4,598.85,84
AMT19,-22.8539,-24.9962,16/11/2009 05:25,2.7,2.8,9.83,1988.78,99899.37,1082.78,251.4
AMT19,-23.7629,-25.0023,16/11/2009 13:02,2.7,1.4,6.83,2016.2,73360.73,1007.46,185.9
AMT19,-26.1106,-25.0048,17/11/2009 05:34,2,2.7,9.6,3069.81,152919.97,1227.36,399.1
AMT19,-27.1685,-25.0012,17/11/2009 13:01,3.4,0,9.67,2572.94,97879.71,1415.75,288.7
AMT19,-28.7904,-26.1359,18/11/2009 05:35,3.2,2.7,5.31,3942.2,163269,1849.3,318.8
AMT19,-29.3916,-27.0345,18/11/2009 13:03,2.4,1.4,1.4,3664.89,109471.69,1631.64,248.9
AMT19,-30.8338,-29.1838,19/11/2009 05:22,2.1,0,9.53,3295.72,166845.63,1985.28,332.2
AMT19,-31.5468,-30.2546,19/11/2009 13:02,2,11.4,11.42,4528.54,111839.92,1887.14,288.4
AMT19,-33.4166,-34.247,21/11/2009 06:45,5.3,2.8,30.71,4503.09,117026.74,1771.57,759.4
AMT19,-33.8837,-34.9746,21/11/2009 14:02,4.8,0,12.35,8362.29,94882.55,1853.86,472
AMT19,-35.2946,-37.1117,22/11/2009 06:25,1.8,33.4,72.43,103207.9,99591.95,9938.3,1945.9
AMT19,-35.2581,-37.1841,22/11/2009 13:11,2.7,44.3,71.45,71020.62,95145.77,8237.04,1807.7
AMT19,-37.2977,-40.1896,24/11/2009 06:25,3.9,77.3,84.21,268779.06,11708.85,11505.93,1972.6
AMT19,-37.8661,-41.091,24/11/2009 14:00,3.6,96.6,121.15,130340.36,42385.93,11156.63,2281.4
AMT19,-39.315,-43.3924,25/11/2009 06:26,1.1,119.5,40.75,283024.92,2181.5,2468.11,5284
AMT19,-39.9682,-44.4411,25/11/2009 14:02,1.9,333.2,2.84,259750.53,0,86826.42,3276.4
AMT19,-42.2492,-48.2289,26/11/2009 14:00,4.7,245.5,27.58,314166.92,0,85951.95,7193.7
AMT20,49.406,-11.1648,14/10/2010 05:40,1.7,30,66,25366,109366,11990,2990
AMT20,49.2708,-12.8839,14/10/2010 13:05,1.3,16,29,9460,163460,9397,1868
AMT20,49.0528,-16.4282,15/10/2010 05:38,1.5,27,65,15711,144654,11363,2051
AMT20,48.1178,-17.3252,15/10/2010 13:07,1.5,19,81,14945,75769,9910,1498
AMT20,46.0566,-19.2,16/10/2010 05:50,1.4,10,24,4388,109483,7016,1321
AMT20,45.1974,-19.9337,16/10/2010 13:05,1.4,19,24,4742,181533,4948,1015
AMT20,43.5496,-21.3642,17/10/2010 05:52,1.6,11,29,3441,111486,7411,1059
AMT20,42.7684,-22.0359,17/10/2010 13:07,2.1,5,26,5299,113050,9856,1620
AMT20,40.9943,-23.4794,18/10/2010 05:35,2.7,4,13,5071,135566,2000,752
AMT20,40.1274,-24.1928,18/10/2010 13:06,2,0,11,5825,149327,1385,278
AMT20,38.2815,-25.6456,19/10/2010 06:00,1.3,19,14,5860,178925,1449,429
AMT20,34.9398,-28.9435,20/10/2010 16:17,1.8,3,8,5874,130542,825,249
AMT20,34.2175,-29.759,21/10/2010 05:25,1.8,3,12,1241,211614,820,247
AMT20,33.8424,-30.2035,21/10/2010 14:03,2.6,0,7,1630,171650,724,275
AMT20,32.429,-31.8056,22/10/2010 06:56,1.6,3,10,1990,148979,866,201
AMT20,31.7304,-32.5631,22/10/2010 14:09,1.8,6,21,1679,145039,684,196
AMT20,30.2962,-34.1839,23/10/2010 06:35,3,3,16,1539,125046,904,240
AMT20,29.6102,-34.9013,23/10/2010 14:10,2.4,0,6,1478,112061,827,182
AMT20,28.1128,-36.5083,24/10/2010 07:00,2.4,3,16,949,30590,692,119
AMT20,27.4516,-37.2334,24/10/2010 14:03,3.6,0,15,6921,40050,728,250
AMT20,25.984,-38.7833,25/10/2010 06:39,3.7,1,19,6996,33084,713,322
AMT20,25.2703,-39.5304,25/10/2010 14:10,5.5,1,13,5840,61422,815,157
AMT20,23.7651,-41.1073,26/10/2010 06:48,2.8,4,9,6056,60114,803,299
AMT20,22.9636,-40.532,26/10/2010 14:06,1.7,0,15,4296,47834,509,338
AMT20,21.213,-39.2911,27/10/2010 06:40,2.1,0,7,4068,65172,870,310
AMT20,20.431,-38.739,27/10/2010 14:08,2.4,0,12,1252,107517,809,210
AMT20,18.691,-37.5228,28/10/2010 07:00,2.5,4,7,1549,140728,888,248
AMT20,17.9128,-36.9839,28/10/2010 14:07,2,3,19,1219,175143,1017,275
AMT20,16.1883,-35.8048,29/10/2010 06:41,2.1,1,12,1708,321486,1018,275
AMT20,15.4238,-35.2855,29/10/2010 14:07,1.8,0,9,1964,222105,699,131
AMT20,13.4658,-33.9539,30/10/2010 07:00,2.2,1,3,4947,230012,1048,188
AMT20,12.5455,-33.3289,30/10/2010 14:08,2.1,0,10,4011,211664,739,283
AMT20,10.5718,-31.9983,31/10/2010 07:14,2.5,7,7,8820,340880,1198,252
AMT20,9.7516,-31.4572,31/10/2010 14:12,4.3,0,13,17320,261704,1050,361
AMT20,7.8171,-30.1599,11-Jan-2010 06:39:00,2.9,4,13,29168,195296,1353,256
AMT20,6.7873,-29.484,11-Jan-2010 14:12:00,2.7,0,13,35155,122333,1118,317
AMT20,4.7998,-28.1611,11-Feb-2010 05:51:00,2.9,6,10,21646,389291,1743,251
AMT20,3.8856,-27.5648,11-Feb-2010 13:17:00,3.1,1,6,11560,205718,843,261
AMT20,-3.8472,-25.014,11-May-2010 06:07:00,1.3,0,7,967,254758,1722,277
AMT20,-4.8906,-25.0296,11-May-2010 13:11:00,2.2,3,9,986,239475,1290,429
AMT20,-6.0543,-23.7602,11-Jun-2010 05:46:00,2.8,2,15,1114,257707,1368,240
AMT20,-6.2674,-22.6974,11-Jun-2010 13:09:00,2,3,18,1557,308328,1394,347
AMT20,-12.5292,-19.022,11-Oct-2010 04:30:00,2,2,20,2019,313070,1365,271
AMT20,-13.4733,-19.9666,11-Oct-2010 13:07:00,1.9,0,6,2004,176337,1007,180
AMT20,-15.3313,-21.8412,11-Nov-2010 04:28:00,3.1,0,21,2022,230681,1023,197
AMT20,-16.3161,-22.8417,11-Nov-2010 13:07:00,4,2,15,2778,124477,1038,191
AMT20,-18.537,-25.1296,11-Dec-2010 11:00:00,2,0,20,2787,132273,887,183
AMT20,-20.3796,-25.0892,13/11/2010 04:31,2,0,12,2762,116852,1340,298
AMT20,-21.7052,-25.0971,13/11/2010 13:05,3.5,2,6,3776,59748,1329,314
AMT20,-23.8378,-26.5665,14/11/2010 04:55,2.7,4,7,4830,113331,1452,280
AMT20,-24.8191,-27.3597,14/11/2010 13:30,3.9,6,4,4018,105691,1298,408
AMT20,-26.8573,-29.0661,15/11/2010 05:36,3,2,9,5540,238531,1547,426
AMT20,-27.9154,-29.9846,15/11/2010 14:10,2.6,0,14,8335,156089,1752,399
AMT20,-29.9423,-31.8229,16/11/2010 05:31,2,0,0,4990,110350,1176,414
AMT20,-30.9977,-32.8167,16/11/2010 14:23,1.7,2,9,4553,106527,2605,950
AMT20,-33.0444,-34.8454,17/11/2010 05:30,2.4,3,6,6132,53344,3974,1034
AMT20,-34.1072,-35.9253,17/11/2010 14:12,3.1,3,6,5720,85370,2594,1308
AMT20,-36.0874,-38.0892,18/11/2010 05:32,2.7,58,28,218981,188790,13099,914
AMT20,-37.0936,-39.229,18/11/2010 14:11,6,29,0,128025,328981,10416,923
AMT20,-38.9224,-41.4561,19/11/2010 05:38,4.7,178,20,112215,26162,14754,1435
AMT20,-39.7914,-42.5517,19/11/2010 14:12,5.7,241,55,121157,10674,13333,4083
AMT20,-41.6548,-45.0941,20/11/2010 06:41,2.1,153,11,71578,2555,18299,5042
AMT20,-42.498,-46.2962,20/11/2010 15:12,2.9,169,9,22742,0,12903,3021
AMT20,-44.2002,-48.9401,21/11/2010 06:30,2.2,504,47,80921,8173,20470,10302
AMT20,-45.0164,-50.2846,21/11/2010 15:12,2.5,231,46,329960,0,27731,5279
AMT22,49.251,-13.0564,10-Dec-2012 12:10:00,5.3,NaN,NaN,47336,56308,NaN,NaN
AMT22,48.9277,-16.3695,13/10/2012 04:30,1.8,70,43,37285,2821,15956,2153
AMT22,47.8818,-17.2666,13/10/2012 13:01,1.8,70,59,23209,167738,8057,1388
AMT22,45.8774,-18.6081,14/10/2012 04:30,2.8,7,34,6491,201829,4185,893
AMT22,44.766,-19.3257,14/10/2012 13:04,1.9,20,50,11317,130751,4879,1437
AMT22,42.8173,-20.5778,15/10/2012 04:24,3,9,27,15205,136342,6293,1669
AMT22,41.6542,-21.2649,15/10/2012 13:00,1.3,9,10,4178,182146,2582,926
AMT22,39.6543,-22.5096,16/10/2012 04:42,2.2,3,11,6426,243651,1897,332
AMT22,38.5561,-23.0963,16/10/2012 13:00,3.1,3,10,3929,167318,822,150
AMT22,36.6845,-24.4696,17/10/2012 04:25,2,3,7,3182,194670,1121,208
AMT22,35.8472,-25.5944,17/10/2012 12:59,3.6,4,8,2345,163142,897,247
AMT22,34.3807,-27.6353,18/10/2012 04:28,2.6,0,11,3507,173913,986,262
AMT22,33.562,-28.6905,18/10/2012 12:59,1.7,4,9,2123,131508,998,263
AMT22,32.0224,-30.7364,19/10/2012 04:55,1,4,14,2869,149146,827,279
AMT22,31.1062,-31.9071,19/10/2012 13:56,2,0,4,2522,138410,950,228
AMT22,29.8077,-33.55,20/10/2012 04:55,1.7,4,8,1621,119386,885,158
AMT22,28.9364,-34.6717,20/10/2012 13:55,1.1,0,11,1398,73414,699,200
AMT22,27.6147,-36.347,21/10/2012 04:55,2.1,5,7,2338,82320,886,259
AMT22,26.7173,-37.4713,21/10/2012 13:58,1.4,5,1,3999,69473,767,176
AMT22,25.5004,-38.9826,22/10/2012 04:54,1.3,7,13,5010,58669,876,285
AMT22,24.596,-40.0752,22/10/2012 13:59,1.5,9,12,5445,64068,772,298
AMT22,23.164,-40.6037,23/10/2012 04:54,2.2,6,13,3928,85091,869,219
AMT22,22.0755,-39.7985,23/10/2012 14:00,1.5,1,11,1587,124477,837,370
AMT22,20.5659,-38.5923,24/10/2012 04:49,1.4,9,12,1660,144562,796,267
AMT22,19.4442,-37.7725,24/10/2012 14:00,1.2,7,21,1856,143400,796,216
AMT22,17.712,-36.4286,25/10/2012 04:56,1.5,9,7,2264,232714,878,357
AMT22,16.6435,-35.6572,25/10/2012 13:58,1.9,4,9,2603,241167,937,232
AMT22,15.062,-34.4472,26/10/2012 04:52,1.7,7,21,3917,328276,1070,306
AMT22,13.9563,-33.6673,26/10/2012 13:59,2.3,2,10,11368,261535,1509,220
AMT22,12.2201,-32.3604,27/10/2012 04:53,1.3,10,9,26217,260275,1431,148
AMT22,11.1153,-31.5772,27/10/2012 13:58,1.3,3,3,15658,201695,1031,185
AMT22,9.4523,-30.3271,28/10/2012 04:52,1.7,14,9,32487,211774,1451,179
AMT22,8.2954,-29.5267,28/10/2012 14:00,1.3,8,8,19186,181207,996,265
AMT22,6.6201,-28.341,29/10/2012 04:54,4.3,8,15,21873,320611,1026,181
