Cruise,Depth,Lat,Lon,DateTime,allo,alphabetacar,butfuco,chl_c1c2,chl_c3,diadino,diato,dv_chl_a,fuco,hexfuco,lut,neo,perid,pras,tot_chl_a,tot_chl_b,tot_chl_c,viola,zea
AMT24,7,36.9504350925503,-25.910745,20141002,0.00282885545190598,0.0122512143418139,0.0027830648229315,0.00992240276053569,0.0837041090837231,0.00748510913946076,0.00700046531342316,0.016329513237701,0.158630153846153,0.0653956438260376,0.00662331017010129,0.0280657844116887,0.001,0.001,0.151099752909761,0.0247681487486889,0.0154855744528839,0.00131542059152888,0.0844759759618552
AMT24,7,33.35386,-27.08455,20141003,0.00116756402015678,0.00448079543113102,0.001,0.00526006554871221,0.0379353166013438,0.00444180566629339,0.00459192588745801,0.00647591153135498,0.0667202669736842,0.0149404998208287,0.00330789413213886,0.0155691538857783,0.001,0.001,0.0548758164221725,0.00895595179171333,0.0100337315537514,0.000867208034714446,0.0309064628779395
AMT24,7,26.105845,-29.305245,20141005,0.001,0.00266465133258679,0.001,0.00329482439529675,0.0264950255879059,0.00236330676371781,0.0044200590481523,0.0068711862150056,0.0487699805907055,0.0084524167525196,0.00232181385218365,0.010779177956327,0.001,0.001,0.0369474423404255,0.00704821735722285,0.0077833658118701,0.000623441321388578,0.0223259470296753
AMT24,7,19.85537,-29.1406149999999,20141007,0.0012141949787234,0.00599814622172452,0.001,0.00451509384994401,0.0432743045016797,0.00393112299216125,0.00471881976259798,0.00908592712653975,0.0862801637760359,0.0277895505487122,0.00512242836282195,0.0156812141993281,0.001,0.001,0.0730638550503919,0.0140627734826428,0.00964994275475924,0.000813365375139978,0.0436844589025756
AMT24,7,16.4361049999999,-28.40486,20141008,0.00124431267077268,0.00793224215005599,0.00153887019036954,0.00395513955207167,0.0495139828107503,0.00370945516797312,0.00438746597424412,0.00814624505599104,0.0847762694736841,0.0285472623292273,0.001,0.0131911858342665,0.001,0.001,0.0806177779591265,0.0122184714165733,0.00909692114221725,0.000998874832026876,0.05116716
AMT24,7,12.843975,-27.64715,20141009,0.00197622181410974,0.0138521627771557,0.00290217446808511,0.00489666472004479,0.0645833197928332,0.00485731181970885,0.00398155895296753,0.00818715775755879,0.155872438507838,0.0631687788577828,0.00466804696528555,0.0191451430851064,0.001,0.001,0.130511325778276,0.0224613302071669,0.00983887077267637,0.00112880663493841,0.100112296256999
AMT24,7,9.36835751207179,-26.9210149999999,20141010,0.0027659288519867,0.0138161000298244,0.00205214997720968,0.00392486229580152,0.0735648260338647,0.00535521784735548,0.00468244148232765,0.0131141453488045,0.15610170720343,0.0594940550231561,0.00503585901512039,0.0152806078122978,0.001,0.001,0.137284419975015,0.0252638762963755,0.0110376593296831,0.00152071145199683,0.0987051714704542
AMT24,7,5.899115,-26.20462,20141011,0.0158583297816349,0.0342608455991042,0.0111330381634938,0.0919680022844345,0.283860721416573,0.0492225610918253,0.0765768793645017,0.00878130468085106,0.517417203916573,0.122079516349384,0.017375525106383,0.137512765358343,0.001,0.00846931542553192,0.407940237765958,0.210934457166853,0.126799440456327,0.00138134470884658,0.0394921514669653
AMT24,7,2.37582492751899,-25.4862249999999,20141012,0.00106821591265398,0.00739303027995521,0.00166744676371781,0.00441232597424412,0.034494363549832,0.00307286207166853,0.00743382281914894,0.00949657897256439,0.128708140571108,0.0453033253303471,0.00263972210526316,0.0135641177379619,0.001,0.001,0.0817976888801792,0.0212831870940649,0.0115066848908175,0.000872027463605823,0.0837405717469205
AMT24,7,-8.91121,-25.04264,20141015,0.00367476119260918,0.00992380309070549,0.00233118651735722,0.0151973756886898,0.0540080475923852,0.00955778568868981,0.0107951547480403,0.00473223581466965,0.129773839400895,0.0479123311982083,0.00293305847704367,0.0321212454143337,0.001,0.000874810106382979,0.103920378790594,0.0383964303191489,0.0213529404367301,0.001,0.0357806436534155
AMT24,7,-12.49476,-25.06529,20141016,0.00123312482082867,0.00229619417693169,0.00107106248600224,0.0039777420268757,0.0255896763157895,0.00303607292273236,0.00276630291153416,0.0057502211450168,0.0599206484014558,0.0180477894288914,0.00257134817469205,0.0112471502603583,0.001,0.001,0.0456374657446809,0.00707362206047033,0.00680237583426652,0.000621031606942889,0.0318176610582307
AMT24,7,-16.131545,-25.08447,20141017,0.000797539816082958,0.00195360571483284,0.001,0.00271495955740018,0.0177294269972566,0.00173420256684581,0.00149255527918507,0.00521567186335688,0.0395595041670656,0.002,0.00161902423225667,0.00723876836568603,0.001,0.001,0.0217294269972566,0.00491183173963541,0.00422675784603088,0.000556043847854232,0.0202773804560044
AMT24,7,-18.5505947685279,-25.07113,20141018,0.000737603020674053,0.00269015851433314,0.001,0.00274317068456864,0.0196883658289801,0.00198809550877951,0.00189749721750104,0.00593786619846408,0.0434095634972516,0.002,0.0017671425810449,0.00745723127994952,0.001,0.001,0.0236883658289801,0.00535537914745823,0.00488559272628055,0.001,0.0233490367835563
AMT24,7,-22.3164,-25.060175,20141020,0.00476888489622482,0.0145472847259507,0.00488229302489684,0.0376319209273548,0.0905669959911437,0.0193277461688322,0.0248369453460962,0.00255942808091345,0.192322251233592,0.080277712129347,0.00325534393839451,0.0434066590145577,0.001,0.0053171208588361,0.172844708120491,0.0793396712635567,0.0451646915149284,0.001,0.0184174038820455
AMT24,7,-25.594735,-25.035745,20141021,0.000788713183620351,0.00308337074543749,0.001,0.00247111928815714,0.0210706915952907,0.001,0.00288651901879483,0.00568453502920614,0.0335359323597954,0.00628465978632608,0.00184975901455767,0.0064474573893042,0.001,0.001,0.0293553513816168,0.0035227569080839,0.00488651901879483,0.000518935262249932,0.0164561265760722
AMT24,7,-29.153925,-25.2755650925988,20141022,0.00104494518477044,0.00305283480403135,0.001,0.00371326371780515,0.0268621718365062,0.00264256984882419,0.00198557554031355,0.00575258355823068,0.0453362054927211,0.002,0.00269237613661814,0.00996794563269877,0.001,0.001,0.0308621718365062,0.00574027208846585,0.00562814538913774,0.000806001287793953,0.0201774027323628
AMT24,7,-32.7165651851492,-26.63186,20141023,0.0019766693281075,0.00382932443449048,0.00130923995520717,0.00816203740574841,0.0444585365808138,0.00539937968645017,0.00518649841918626,0.0101510032269504,0.0604435290798806,0.0127938302351624,0.00376005744680851,0.019721008585293,0.001,0.001,0.0592523668159761,0.00610559701381113,0.0115858781056364,0.000787494680851064,0.018718159300112
AMT24,7,-35.796985,-27.8749249999999,20141024,0.0195247000867861,0.0142439041881299,0.00675787673012318,0.0372164424580067,0.248795473264278,0.0393711663101904,0.0459198066573348,0.0462724802379619,0.357094191738521,0.0564764882418813,0.0199146703807391,0.148504918157895,0.001,0.00590938723404255,0.311725154804031,0.052326146668533,0.0862909729675252,0.00218194823628219,0.0774458767777156
AMT24,7,-38.961265,-29.1674274396033,20141025,0.0235055235610302,0.0167426146472564,0.00517316228443449,0.0483620554609929,0.403423264800299,0.0553281809555805,0.0469643370735349,0.0400941611832773,0.376606898047778,0.002,0.0319422247256439,0.121294444871221,0.00712340824934677,0.0174201226950355,0.424643567140724,0.096565394102277,0.103292518029115,0.00954735289287047,0.0282445793243748
AMT24,7,-40.6863348148507,-32.1031849999999,20141026,0.0387238337402016,0.0174939533258679,0.0114920628891377,0.0746290665696155,0.520881323105636,0.0860605568645017,0.0797411007988055,0.0772350194960806,0.541429040406868,0.002,0.0575466337737962,0.219188969178798,0.001,0.0169150627659574,0.561638453176558,0.0903661172452408,0.166801657663307,0.00992481056364315,0.0252930222881672
AMT24,7,-42.0804748148022,-35.10188,20141027,0.0276506965509519,0.0128560360134379,0.00881371144456887,0.0619571994400896,0.395531474729377,0.0707683579320642,0.0533292074953341,0.0366503354236655,0.46881593858156,0.002,0.0428254823292273,0.190193262635312,0.001,0.0175187365248227,0.431543276573348,0.0866496208659948,0.125097565427398,0.00900757685703621,0.0453491087756626
AMT24,7,-45.287475,-42.19838,20141029,0.0299362997088466,0.0104189701231803,0.00973583122060471,0.0574821051213139,0.36921469122807,0.06631587343785,0.0551889299477417,0.0704123701343785,0.406103269817095,0.002,0.0428397268980963,0.202115837357223,0.001,0.0156057936170213,0.397120316121687,0.0583588374766704,0.122504803385592,0.00944955061590146,0.0119132198768197
AMT24,7,-48.245295,-50.340255,20141031,0.0297455095744681,0.0133611671220605,0.00654906248600224,0.0403057898096305,0.423650148973498,0.0616390162075401,0.041614325502053,0.0282600459238522,0.369720539675251,0.002,0.0560751698096305,0.0921344635311684,0.001,0.0299397375886525,0.438813712448675,0.122848147405748,0.104253341709593,0.0130101446808511,0.0100497952818216
AMT25,7,50.0333333333333,-4.375,20150918,0.0940856621724524,0.00678805787234043,0.0352281585218365,0.704581907883538,0.0947658687905935,0.545968727267637,0.0115948819708847,0.002,0.383879938857783,0.112648172765957,0.001,0.0180883157446809,1.8891607406047,0.0229360882978723,3.60097796025756,0.217695780974244,0.768924382676372,0.0192487989921613,0.0117922573236282
AMT25,7,48.5101516666667,-8.87813666666667,20150919,0.016904874893617,0.0102419583426652,0.0650599027995521,0.102478202687569,0.112234113057111,0.0368540756662934,0.00364453034714446,0.002,0.110766378006719,0.260020883404255,0.001,0.00748000591265398,0.0162409003583427,0.00504791170212766,0.609033972553192,0.0654999909966405,0.206682423896976,0.00500912161254199,0.0320492406830907
AMT25,7,47.5129,-11.06245,20150919,0.00902293464725644,0.0132154142889138,0.097077042206047,0.115753272597983,0.100749299820829,0.0631943387066069,0.00580951511758119,0.0218110118701008,0.0400097380515118,0.280867315744681,0.001,0.00485672455767077,0.0575293747368421,0.0037895,0.498869210643897,0.0495172058230683,0.21032762818589,0.0026616741881299,0.0228584740593505
AMT25,7,46.2764,-12.9353666666667,20150920,0.0136698490481523,0.0115117746920493,0.0809497361254199,0.0776729829563269,0.0727414414613662,0.0324702958006719,0.00253278141097424,0.0714700430459126,0.0275406529451288,0.210226289361702,0.001,0.00394550241881299,0.00863324172452408,0.00304586489361702,0.411149988477044,0.0524202973068309,0.142643640834267,0.00245925817469205,0.056381813225084
AMT25,7,45.5926666666667,-13.9913,20150920,0.0174761082194849,0.0118359152519597,0.0754608572116461,0.0662711631802911,0.0599972756718925,0.0424038138353863,0.00436572754759239,0.0897278868980963,0.0260266587681971,0.167416592340426,0.001,0.00314357458006719,0.0105113928723404,0.0031233914893617,0.39946349818589,0.0570364545128779,0.118889838157895,0.00230465089585666,0.087633125487122
AMT25,7,44.45575,-15.6889666666667,20150921,0.0256093126091825,0.0119431441881299,0.0820698795520717,0.0755687884994401,0.0616663697256439,0.03030203,0.00450852737961926,0.149667024860022,0.0333005461142217,0.157222597446808,0.001,0.00281351015677492,0.0152169848824188,0.00242720265957447,0.483366233275476,0.0711866920380739,0.125695511159015,0.00200334020156775,0.111218170671892
AMT25,7,43.7119333333333,-16.7791166666667,20150921,0.0107533201343785,0.00291014916013438,0.0358472315005599,0.0249977906830906,0.0204925528555431,0.0253008012262038,0.00571385083986562,0.0613120709966405,0.0118992006047032,0.0569123289361702,0.001,0.000654456886898096,0.00394682728443449,0.001,0.193662385705487,0.029591733762598,0.0423254205823068,0.001,0.0446195312709966
AMT25,7,42.3078333333333,-18.8061333333333,20150922,0.0102152124524076,0.00322594696528555,0.0260395186674132,0.0234906677491601,0.0148246446920493,0.0160334837178052,0.00181181640537514,0.0505932319820829,0.00968834176931691,0.049082074893617,0.001,0.001,0.0101282583762598,0.001,0.178555870879059,0.0295113535722284,0.0356214314109742,0.00131165576707727,0.0658659670940649
AMT25,7,41.5246333333333,-19.8712666666667,20150922,0.00830153173572229,0.001,0.0128740174020157,0.0110872718365061,0.00749312030235162,0.0141703987513998,0.00496479025755879,0.0397799767525196,0.00553645693169093,0.028859234893617,0.001,0.001,0.00285787483202688,0.001,0.118521376343785,0.0170107955319149,0.0175803921388578,0.001,0.047376734731243
AMT25,7,40.0411,-21.9172,20150923,0.00802155870100784,0.00223463139977604,0.00952943820828667,0.00900683666293393,0.0062047352631579,0.00765636646136618,0.000522438409854423,0.0391428838521837,0.00513445484882419,0.0216288225531915,0.001,0.001,0.002,0.001,0.102338282155655,0.0141162821388578,0.0142115719260918,0.000739878723404256,0.0575216730739082
AMT25,7,39.2032166666667,-23.04555,20150923,0.00946215614781635,0.00226334029115342,0.0150826020828667,0.013741719305711,0.00909410670026129,0.014782550126913,0.00392486692795819,0.0557734194848824,0.00778079050391937,0.0278212031205674,0.001,0.001,0.00239719624860022,0.001,0.139260369766704,0.0182739206047032,0.020840645431131,0.000723942478536767,0.0557830132176185
AMT25,7,37.6887601666667,-25.0621233333333,20150924,0.00815988300111982,0.00140779896976484,0.0080860108995894,0.00891612530048526,0.00649743384845091,0.00574080728630086,0.000569032176185144,0.0431470553191489,0.00525400748040314,0.0207464587234042,0.001,0.001,0.002,0.001,0.104376227848078,0.014521963493841,0.0144135591489362,0.001,0.052350612347891
AMT25,7,37.507525,-26.6605,20150924,0.0059195525643897,0.000829245285554311,0.00507748451847704,0.0056821673068309,0.00250788639697648,0.00838753335106383,0.001,0.0254936773572228,0.00347531868980963,0.0114928234042553,0.001,0.001,0.002,0.001,0.0610154802323628,0.0107128458006719,0.00743323578107503,0.001,0.0481450856858903
AMT25,7,36.8376166666667,-29.9555166666667,20150925,0.0054922317581187,0.000728764165733483,0.00496241737402016,0.00624844260358343,0.00375724191489362,0.00526173852183651,0.001,0.0253338627547592,0.00310704571108623,0.0141120217021277,0.001,0.000521493062709966,0.002,0.001,0.0691237043673012,0.0116798123180291,0.00900568451847704,0.0007235890537514,0.044643538093505
AMT25,7,36.2483666666667,-32.7609166666667,20150925,0.00557308286674132,0.001,0.00598921551511758,0.00741909444568869,0.00354141550951848,0.0055262214193729,0.001,0.02256569193729,0.00368181406494961,0.0155804187234043,0.001,0.000634277799552072,0.002,0.001,0.0688998292385219,0.0128592594176932,0.00996050995520717,0.000772168896976484,0.0474549890145577
AMT25,7,36.2284833333333,-32.7718833333333,20150927,0.00502798199328108,0.001,0.00471789969204927,0.0066697535274356,0.00299020911254199,0.00388305564669653,0.001,0.020704436506159,0.00300982652855543,0.0135726612765957,0.001,0.001,0.002,0.001,0.0647393899608063,0.0115686962430011,0.00880413085946249,0.000700070240761478,0.0311158925615901
AMT25,7,35.6113,-34.16665,20150928,0.00703686826427772,0.000970458678611422,0.00548315491041433,0.00688432755879058,0.00318741090425532,0.001,0.001,0.0333429997088466,0.0034443367525196,0.0147202865957447,0.001,0.001,0.002,0.001,0.0771356227323628,0.0141595495240762,0.00920710545072788,0.000778819708846585,0.0457957329395297
AMT25,7,35.06355,-35.44335,20150928,0.00659310732362822,0.00109388237402016,0.00540800902015678,0.00659881559910414,0.00387364575027996,0.00686313253359463,0.000619031466965286,0.0302214177379619,0.00366365223964166,0.0158721925531915,0.001,0.000745644546472564,0.002,0.001,0.0790212758678612,0.013004032474804,0.00958740947928332,0.000828845380739082,0.04121799
AMT25,7,33.9986666666667,-37.5748333333333,20150929,0.00738174302351624,0.00110799144456887,0.00599200413213886,0.00651265153975363,0.00319727099384099,0.0049392691181411,0.001,0.0346353757894737,0.00356109134378499,0.0152006846808511,0.001,0.000984957614781635,0.002,0.001,0.0778991830515118,0.0145195818029115,0.00872664891657335,0.000722914333706607,0.0376038358202688
AMT25,7,33.22135,-38.9216,20150929,0.0046223768868981,0.001,0.00461369347704367,0.00662310699888017,0.00264031287793953,0.00637379085106383,0.000719107446808511,0.0192518127211646,0.00336772132138858,0.0124055659574468,0.001,0.001,0.0022387728443449,0.001,0.0642296644960806,0.0102560895240761,0.00864126080067189,0.000566475671892497,0.030799559568869
AMT25,7,31.1509666666667,-40.9179666666667,20150930,0.00425787211646137,0.00100346163493841,0.00504460819148936,0.00629148062709966,0.00258991686450168,0.00473620896416573,0.001,0.0133269786786114,0.00292435911534155,0.0131184993617021,0.001,0.000546035195968645,0.002,0.001,0.0575632367525196,0.0107960833118701,0.00788139749160134,0.00069332304031355,0.022139463093505
AMT25,7,30.1005333333333,-41.93895,20150930,0.0026107914893617,0.001,0.00320206618701008,0.00484420606942889,0.00185835299552072,0.00641137469764838,0.00145133390257559,0.00572019339305711,0.00231891406494961,0.0103023917021277,0.001,0.001,0.002,0.001,0.0402058676203807,0.00729590523796193,0.00570255906494961,0.001,0.0141981123152296
AMT25,7,28.2558,-40.3095833333333,20151001,0.00377399234042553,0.001,0.00485659669652855,0.00578558178051512,0.0031486552743561,0.00437969933370661,0.001,0.0149833769092945,0.00228030110862262,0.0126723463829787,0.001,0.001,0.002,0.001,0.0529100041881299,0.0163667285330347,0.00794559468645017,0.000556258482642777,0.0168421786506159
AMT25,7,27.4746333333333,-41.1108,20151001,0.00343746033594625,0.001,0.00372045541433371,0.00608588385218365,0.0024941918281075,0.00533722836226204,0.00053613790593505,0.0095373370212766,0.00295427270996641,0.0121981621276596,0.001,0.001,0.002,0.001,0.0495361154759239,0.00831524693729004,0.00758007568029115,0.000621320772676372,0.018827847931131
AMT25,7,25.9337,-38.8270666666667,20151002,0.00473586288913774,0.001,0.00478335880739082,0.00621103736842105,0.00346513676091825,0.00363435796472564,0.001,0.0172311757894737,0.00281126741321389,0.0143174923404255,0.001,0.001,0.002,0.001,0.0602957644904815,0.0115054361422172,0.00867617412933931,0.000724842105263158,0.0257598510890258
AMT25,7,25.4532166666667,-38.0744,20151002,0.00478101191489362,0.000522158297872341,0.00431105514557671,0.00650965912094065,0.00371944490481523,0.00754973571948488,0.000802001007838746,0.0219407258902576,0.00363434912653975,0.0140773623404255,0.001,0.000547453185890257,0.002,0.001,0.0626849224860022,0.0120279414081747,0.00921907466405375,0.000927547284434491,0.0388535169344905
AMT25,7,23.8985,-35.75565,20151003,0.00419333845464726,0.001,0.00263979293393057,0.00460525262597984,0.00135384507838746,0.00421733711646137,0.001,0.012487194087346,0.00153917653975364,0.00884849361702128,0.001,0.001,0.002,0.001,0.0514877936786114,0.00916264979843225,0.0049590977043673,0.000573126483762598,0.0315637988577827
AMT25,7,22.98665,-34.3891166666667,20151003,0.0185677822172452,0.00104885603583427,0.00464906488241881,0.00857081959686451,0.00392719151455767,0.0100274776511758,0.00142672124860022,0.054152030324748,0.00504166165733483,0.0167947391489362,0.001,0.000886352777155655,0.00176558715005599,0.001,0.171623733393057,0.0212569747284434,0.0109564753611422,0.00102326114221725,0.0828069583566629
AMT25,7,21.4659833333333,-32.0755333333333,20151004,0.00614441249720045,0.000770232564389698,0.00359291287793953,0.00651661209406495,0.00189628695128779,0.00529792639697648,0.001,0.0327717382978723,0.00415005339305711,0.0116103338297872,0.001,0.00067616304031355,0.002,0.001,0.0842878361282195,0.0133076980683091,0.00735155850223964,0.001,0.0558145359882419
AMT25,7,20.5801166666667,-30.76975,20151004,0.0106147649720045,0.00085194248600224,0.00360074057484136,0.00550259284061217,0.00197293088839119,0.0111397089511012,0.00531230854796566,0.0431831471444569,0.00300051668533035,0.0142943860992908,0.001,0.000610390123180291,0.002,0.001,0.104562052297499,0.018870401866368,0.00692726566256066,0.000622156140350877,0.0823560456812244
